Name,Rechtsform,Land,PLZ,Ort,Straße,HR Amtsgericht,Register-ID,Status,North Data URL,Tel.,Fax,E-Mail,Website,USt.-Id.,Eintragung,Eintragung Datum,Branche (WZ),Ges. Vertreter 1,Ges. Vertreter 2,Ges. Vertreter 3,Gegenstand,Tickers,Finanzkennzahlen Datum,Stamm-/Grundkapital EUR,Bilanzsumme EUR,Gewinn EUR,Gewinn CAGR %,Umsatz EUR,Umsatz CAGR %,Umsatzrendite %,Eigenkapital EUR,EK-Quote %,EK-Rendite %,Mitarbeiterzahl,Umsatz pro Mitarbeiter EUR,Steuern EUR,Steuer-Quote %,Kassenbestand EUR,Forderungen EUR,Verbindlichkeiten EUR,Materialaufwand EUR,Personalaufwand EUR,Personalaufwand pro Mitarbeiter EUR,Pensionsrückstellungen EUR,Immobilien und Grundstücke EUR,Mktg&Tech Bezugszeitraum,Anzahl Förderungen pro Jahr,Gesamtfördersumme pro Jahr EUR,Patente pro Jahr,Marken pro Jahr
Awi-Immobilien & Hausverwaltungen e. K.,e. K.,DE,84061.0,Ergoldsbach,Am Wald 4,Landshut,HRA 8730,aktiv,"https://www.northdata.de/Awi-Immobilien%20&%20Hausverwaltungen%20e%C2%B7%20K%C2%B7,%20Ergoldsbach/Amtsgericht%20Landshut%20HRA%208730",,,,,,Eintragung,11.03.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","König-Winterfeld, Anita",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyramide Finanzkonzepte OHG,OHG,DE,88483.0,Burgrieden,Parkweg 19/2,Ulm,HRA 3176,aktiv,"https://www.northdata.de/Pyramide%20Finanzkonzepte%20OHG,%20Burgrieden/Amtsgericht%20Ulm%20HRA%203176",+49 739293816050,+49 739293816059,gietl@pyramide-ohg.com,,,Eintragung,12.03.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","GietI, Wolfgang","Hinsinger-Gietl, Marianne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Böckmann Objekt Management e. K.,e. K.,DE,40237.0,Düsseldorf,Peter-Janssen-Str. 12,Düsseldorf,HRA 22050,erloschen,"https://www.northdata.de/B%C3%B6ckmann%20Objekt%20Management%20e%C2%B7%20K%C2%B7,%20D%C3%BCsseldorf/HRA%2022050",,,,,,Eintragung,17.02.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Böckmann, Andreas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immodentity e. K.,e. K.,DE,22145.0,Hamburg,Gerstenwiese 10 a,Hamburg,HRA 98226,erloschen,"https://www.northdata.de/Immodentity%20e%C2%B7%20K%C2%B7,%20Hamburg/HRA%2098226",,,,,,Eintragung,24.02.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Hermann, Andreas Fritz Otto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnold Immobilien e. K.,e. K.,DE,70794.0,Filderstadt,Heideweg 13,Stuttgart,HRA 222425,aktiv,"https://www.northdata.de/Arnold%20Immobilien%20e%C2%B7%20K%C2%B7,%20Filderstadt/Amtsgericht%20Stuttgart%20HRA%20222425",+49 711775701,+49 711775702,arnold-immobilien@t-online.de,https://www.arnold-immobilien.com,,Eintragung,17.03.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Sage, Daniela",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V & S Immobilien e. K. Inh. Holger Strauch,e. K.,DE,6886.0,Lutherstadt Wittenberg,Dessauer Str. 6,Stendal,HRA 12335,aktiv,"https://www.northdata.de/V%20&%20S%20Immobilien%20e%C2%B7%20K%C2%B7%20Inh%C2%B7%20Holger%20Strauch,%20Lutherstadt%20Wittenberg/Amtsgericht%20Stendal%20HRA%2012335",+49 3491409247,,,,,Eintragung,18.03.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Strauch, Holger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIECHERS-IMMOBILIEN e. K.,e. K.,DE,21029.0,Hamburg,Brookdeich 230 A,Hamburg,HRA 98367,aktiv,"https://www.northdata.de/RIECHERS-IMMOBILIEN%20e%C2%B7%20K%C2%B7,%20Hamburg/HRA%2098367",+49 4072910000,+49 4072910002,info@riechers-immobilien.de,,,Eintragung,25.03.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Riechers, Joachim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herrenhof Immobilien e. K.,e. K.,DE,72250.0,Freudenstadt,Karl-von-Hahn-Str. 30,Stuttgart,HRA 431188,aktiv,"https://www.northdata.de/Herrenhof%20Immobilien%20e%C2%B7%20K%C2%B7,%20Freudenstadt/Amtsgericht%20Stuttgart%20HRA%20431188",+49 744191650,+49 7441916530,info@herrenhof.com,https://www.herrenhof.com,DE227779054,Eintragung,01.04.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Habisreitinger, Jörg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immobilien Bahr Inh.: Thorsten Bahr e. K.,e. K.,DE,51465.0,Bergisch Gladbach,Laurentiusstr. 95,Köln,HRA 19332,aktiv,"https://www.northdata.de/Immobilien%20Bahr%20Inh%C2%B7:%20Thorsten%20Bahr%20e%C2%B7%20K%C2%B7,%20Bergisch%20Gladbach/Amtsgericht%20K%C3%B6ln%20HRA%2019332",+49 2202982248,+49 2204982249,info@immobilien-bahr.de,www.immobilien-bahr.de,DE122003849,Eintragung,04.04.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Bahr, Thorsten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comodo Immobilien e. K.,e. K.,DE,80801.0,München,Friedrichstr. 28,München,HRA 90315,aktiv,"https://www.northdata.de/Comodo%20Immobilien%20e%C2%B7%20K%C2%B7,%20M%C3%BCnchen/HRA%2090315",+49 8933035850,+49 8933035851,info@comodo-immobilien.de,,,Eintragung,14.04.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Kratzer, Joachim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biesenbach Immobilien e. K.,e. K.,DE,42929.0,Wermelskirchen,Pantholz 29,Hagen,HRA 3864,erloschen,"https://www.northdata.de/Biesenbach%20Immobilien%20e%C2%B7%20K%C2%B7,%20Wermelskirchen/Amtsgericht%20Hagen%20HRA%203864",,,,,DE180776322,Eintragung,25.03.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biesenbach Immobilien e. K.,e. K.,DE,42929.0,Wermelskirchen,Pantholz 29,Köln,HRA 22365,erloschen,"https://www.northdata.de/Biesenbach%20Immobilien%20e%C2%B7%20K%C2%B7,%20Wermelskirchen/Amtsgericht%20K%C3%B6ln%20HRA%2022365",,,,,DE180776322,Eintragung,25.03.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Biesenbach, Bernd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Hepting Immobilien e. K.,e. K.,DE,70469.0,Stuttgart,Thomas-Mann-Str. 22,Stuttgart,HRA 13728,erloschen,"https://www.northdata.de/Dr%C2%B7%20Hepting%20Immobilien%20e%C2%B7%20K%C2%B7,%20Stuttgart/HRA%2013728",,,,,,Eintragung,04.04.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWVV e. K.,e. K.,DE,67227.0,Frankenthal (Pfalz),Dürkheimer Str. 134,Ludwigshafen a.Rhein,HRA 60337,erloschen,"https://www.northdata.de/HWVV%20e%C2%B7%20K%C2%B7,%20Frankenthal%20(Pfalz)/Amtsgericht%20Ludwigshafen%20a.Rhein%20HRA%2060337",,,,,,Eintragung,11.04.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,"Die Verwaltung von Grundstücken, Häusern und Wohnungen sowie die Vermittlung oder der Nachweis der Gelegenheit zum Abschluß von Verträgen über Grundstücke, grundstücksgleiche Rechte, gewerbliche Räume oder Wohnräume.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siegfried Müller e. K.,e. K.,DE,29323.0,Wietze,Bahnhofstr. 15,Lüneburg,HRA 100801,aktiv,"https://www.northdata.de/Siegfried%20M%C3%BCller%20e%C2%B7%20K%C2%B7,%20Wietze/Amtsgericht%20L%C3%BCneburg%20HRA%20100801",+49 514692024,+49 514692025,,https://www.mueller-immob.com,,Eintragung,17.04.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Müller, Siegfried",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ImmobilienMobil e. K.,e. K.,DE,96479.0,Weitramsdorf,Zum Spitzberg 10,Coburg,HRA 4059,aktiv,"https://www.northdata.de/ImmobilienMobil%20e%C2%B7%20K%C2%B7,%20Weitramsdorf/Amtsgericht%20Coburg%20HRA%204059",+49 9561427457,+49 9561427456,info@lagler.de,https://www.immobilienmobil.de,,Eintragung,17.04.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Schleifenheimer, Harri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kim karitatives Immobilienmanagement Marcus Kammel e. K.,e. K.,DE,58332.0,Schwelm,Markgrafenstr. 6,Hagen,HRA 4848,aktiv,"https://www.northdata.de/kim%20karitatives%20Immobilienmanagement%20Marcus%20Kammel%20e%C2%B7%20K%C2%B7,%20Schwelm/Amtsgericht%20Hagen%20HRA%204848",+49 2336473260,+49 2336441749,info@kim-immobilien.net,https://www.kim-immobilien.net,DE199617914,Eintragung,23.04.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Kammel, Marcus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephan Hinterecker Immobilien RDM e. K.,e. K.,DE,51515.0,Kürten,Dicke 3,Köln,HRA 19908,aktiv,"https://www.northdata.de/Stephan%20Hinterecker%20Immobilien%20RDM%20e%C2%B7%20K%C2%B7,%20K%C3%BCrten/Amtsgericht%20K%C3%B6ln%20HRA%2019908",+49 2268800548,+49 2268800549,info@hinterecker-immobilien.de,https://www.hinterecker-immobilien.de,,Eintragung,23.04.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Hinterecker, Stephan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horstmann Immobilien e. K.,e. K.,DE,61348.0,Bad Homburg v. d. Höhe,Kaiser-Friedrich-Promenade 101,Bad Homburg,HRA 3720,aktiv,"https://www.northdata.de/Horstmann%20Immobilien%20e%C2%B7%20K%C2%B7,%20Bad%20Homburg%20v%C2%B7%20d%C2%B7%20H%C3%B6he/Amtsgericht%20Bad%20Homburg%20HRA%203720",+49 6172121711,+49 617223295,info@horstmann-immobilien.com,https://www.horstmann-immobilien.com,DE228924694,Eintragung,23.04.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Horstmann, Hans-Joachim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sabine Laß e. K. ,Grundstückshandel",e. K.,DE,48167.0,Münster,Franz-von-Waldeck-Str. 31,Münster,HRA 5419,aktiv,"https://www.northdata.de/Sabine%20La%C3%9F%20e%C2%B7%20K%C2%B7%20,Grundst%C3%BCckshandel,%20M%C3%BCnster/HRA%205419",+49 1722819555,,,https://www.lass-immobilien.de,,Eintragung,24.04.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Laß, Sabine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR Immobilien Andrea Bosbach e. K.,e. K.,DE,51503.0,Rösrath,Hauptstr. 248,Köln,HRA 19797,aktiv,"https://www.northdata.de/HR%20Immobilien%20Andrea%20Bosbach%20e%C2%B7%20K%C2%B7,%20R%C3%B6srath/Amtsgericht%20K%C3%B6ln%20HRA%2019797",+49 2205911808,+49 2205911810,bosbach@hr-immobilien.de,,,Eintragung,29.04.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Bosbach, Andrea","Weißmann, Frauke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiermaier Immobilien Services e. K.,e. K.,DE,80638.0,München,Tintorettostr. 13,München,HRA 81987,erloschen,"https://www.northdata.de/Kiermaier%20Immobilien%20Services%20e%C2%B7%20K%C2%B7,%20M%C3%BCnchen/HRA%2081987",,,,,,Eintragung,29.04.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEROMAX e. K.,e. K.,DE,81829.0,München,Heltauerstr. 30,München,HRA 81989,erloschen,"https://www.northdata.de/GEROMAX%20e%C2%B7%20K%C2%B7,%20M%C3%BCnchen/HRA%2081989",,,,,DE206875514,Eintragung,30.04.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Guba, Veronika",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haus Management Christine Schmitz e. K.,e. K.,DE,45770.0,Marl,Bergstr. 68,Gelsenkirchen,HRA 3399,erloschen,"https://www.northdata.de/Haus%20Management%20Christine%20Schmitz%20e%C2%B7%20K%C2%B7,%20Marl/Amtsgericht%20Gelsenkirchen%20HRA%203399",,,,,,Eintragung,02.05.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Fabry, Constantin Matthias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grundstücksgesellschaft Haid OHG,OHG,DE,53225.0,Bonn,Rheinaustr. 142,Bonn,HRA 5798,aktiv,"https://www.northdata.de/Grundst%C3%BCcksgesellschaft%20Haid%20OHG,%20Bonn/HRA%205798",,,,,,Eintragung,06.05.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Haid, Dirk Richard","Haid, Rainer Rudolf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immovestor e. K.,e. K.,DE,10117.0,Berlin,Kronenstr. 70,Charlottenburg (Berlin),HRA 34230 B,aktiv,"https://www.northdata.de/Immovestor%20e%C2%B7%20K%C2%B7,%20Berlin/Amtsgericht%20Charlottenburg%20(Berlin)%20HRA%2034230%20B",+49 3042089007,+49 3042088559,,,,Eintragung,07.05.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Kunzke, Stephan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.S. Scheidt Grundstücks OHG Grünau,OHG,DE,65205.0,Wiesbaden,Kreuzberger Ring 44 a,Wiesbaden,HRA 5044,aktiv,"https://www.northdata.de/A%C2%B7S%C2%B7%20Scheidt%20Grundst%C3%BCcks%20OHG%20Gr%C3%BCnau,%20Wiesbaden/HRA%205044",+49 611999240,+49 6119992419,,https://www.scheidt-immoconsult.de,,Eintragung,08.05.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Scheidt, Henriette","Scheidt, Andreas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefan Dubber Immobilien e. K.,e. K.,DE,21357.0,Bardowick,Witwenkamp 7,Lüneburg,HRA 2034,aktiv,"https://www.northdata.de/Stefan%20Dubber%20Immobilien%20e%C2%B7%20K%C2%B7,%20Bardowick/Amtsgericht%20L%C3%BCneburg%20HRA%202034",+49 41312877800,+49 41312877801,stefan.dubber@dubber-immobilien.de,,,Eintragung,12.05.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Dubber, Stefan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
romey-esser ohg haus und hof OHG,OHG,DE,40476.0,Düsseldorf,Rather Str. 30,Düsseldorf,HRA 16798,aktiv,"https://www.northdata.de/romey-esser%20ohg%20haus%20und%20hof%20OHG,%20D%C3%BCsseldorf/HRA%2016798",+49 2115145369,+49 2115145399,info@haus-u-hof.de,http://www.haus-u-hof.de,,Eintragung,15.05.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Esser, Wolfgang","Holscher, Carsten Josef Günther",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLI City Life Immobilien e. K.,e. K.,DE,60486.0,Frankfurt a. Main,Voltastr. 76,Frankfurt am Main,HRA 31001,aktiv,"https://www.northdata.de/CLI%20City%20Life%20Immobilien%20e%C2%B7%20K%C2%B7,%20Frankfurt%20a%C2%B7%20Main/Amtsgericht%20Frankfurt%20am%20Main%20HRA%2031001",+49 69770706,+49 69770705,info@citylifeimmobilien.com,https://www.citylifeimmobilien.com,,Eintragung,20.05.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Seifert, Diana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
